name,type,format,description,example,enum,minLength,maxLength,minimum,maximum,pattern,deprecated,fit_gap_status,local_term,local_kind,local_domain,local_range
EMSNumber,string,,The emergency schedule identified in the IMO EmS Guide – Emergency Response Procedures for Ships Carrying Dangerous Goods. Comprises 2 values; 1 for spillage and 1 for fire. Possible values spillage: S-A to S-Z. Possible values fire: F-A to F-Z.,F-A S-Q,,,7,,,,False,missing,,,,
HSCode,string,,Used by customs to classify the product being shipped. The type of HS code depends on country and customs requirements. The code must be at least 6 and at most 10 digits. More information can be found here: [HS Nomenclature 2022 edition](https://www.wcoomd.org/en/topics/nomenclature/instrument-and-tools/hs-nomenclature-2022-edition/hs-nomenclature-2022-edition.aspx ). This standard is based on the 2022 revision.,851713,,6,10,,,"^\d{6,10}$",False,present,hsCode,datatype_property,Commodity,string
ISOEquipmentCode,string,,Unique code for the different equipment size and type used to transport commodities. The code can refer to either the ISO size type (e.g. 22G1) or the ISO type group (e.g. 22GP) following the [ISO 6346](https://en.wikipedia.org/wiki/ISO_6346) standard.,22GP,,,4,,,^\S+(\s+\S+)*$,False,present,isoEquipmentCode,datatype_property,Container,string
UNLocationCode,string,,The UN Location code specifying where the place is located. The pattern used must be - 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en) - 3 characters to code a location within that country. Letters A-Z and numbers from 2-9 can be used More info can be found here: [UN/LOCODE](https://unece.org/trade/cefact/UNLOCODE-Download),FRPAR,,5,5,,,^[A-Z]{2}[A-Z2-9]{3}$,False,present,unLocationCode,datatype_property,Location,string
UNLocationName,string,,The name of the UN Location identified by the UN location code above.,New York,,,70,,,^\S+(\s+\S+)*$,False,missing,,,,
additionalContainerCargoHandling,string,,Text field to provide cargo handling information already known at the booking stage.,To be handled with extreme care,,,255,,,,False,missing,,,,
addressLine,string,,A single address line to be used when a B/L needs to be printed.,Kronprincessegade 54,,,35,,,,False,missing,,,,
addressLineNumber,integer,int32,The order of items,1,,,,1,,,False,missing,,,,
addressName,string,,Name of the address,Henrik,,,100,,,^\S+(\s+\S+)*$,False,missing,,,,
airExchangeSetpoint,number,float,Target value for the air exchange rate which is the rate at which outdoor air replaces indoor air within a Reefer container,15.4,,,,0,,,False,missing,,,,
airExchangeUnit,string,,The unit for `airExchange` in metrics- or imperial- units per hour - MQH (Cubic metre per hour) - FQH (Cubic foot per hour) **NB:** This is a conditional field. If `airExchange` is specified then this field is required,MQH,MQH|FQH,,,,,,False,missing,,,,
amendToTransportDocument,string,,"This field can be used to reference a Transport Document that is issued (documentStatus = `ISSU`) in order to amend or request changes. `AmendToTransportDocument` is used in Electronic Bill of Lading IFS ""UseCase 10 - Request amendments to Transport Document"". There is no difference between `amendToTransportDocument` and `transportDocumentReference` in the IFS. **The field cannot be modified once set.**",HHL51XX80YY,,,20,,,^\S+(\s+\S+)*$,False,missing,,,,
amsFilingDueDate,string,date,Date when AMS filing should latest be done in the last port of call before visiting the first US port.,2021-09-03,,,,,,,False,missing,,,,
arrivalNoticeReference,string,,A set of unique characters provided by carrier to identify an Arrival Notice,ABC709951,,,100,,,^\S+(\s+\S+)*$,False,missing,,,,
bargeCallSignNumber,string,,"A unique alphanumeric identity that belongs to the barge and is assigned by the International Telecommunication Union (ITU). It consists of a threeletter alphanumeric prefix that indicates nationality, followed by one to four characters to identify the individual vessel. For instance, vessels registered under Denmark are assigned the prefix ranges 5PA-5QZ, OUAOZZ, and XPA-XPZ. The Call Sign changes whenever a barge changes its flag.",NCVV,,,10,,,,False,present,bargeCallSignNumber,datatype_property,BargeTransportCall,string
bargeFlag,string,,The flag of the nation whose laws the barge is registered under. This is the [ISO 3166 two-letter country code](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en),DE,,,2,,,^[A-Z]{2}$,False,present,bargeFlag,datatype_property,BargeTransportCall,string
bargeName,string,,The name of the Barge. If the name is not known `TBD` (To Be Decided) should be used,King of the Seas,,,35,,,^\S+(\s+\S+)*$,False,present,bargeName,datatype_property,BargeTransportCall,string
bargeOperatorCarrierCode,string,,The carrier who is in charge of the Barge operation based on either the SMDG or SCAC code lists,MAEU,,,10,,,^\S+(\s+\S+)*$,False,present,bargeOperatorCarrierCode,datatype_property,BargeTransportCall,string
bargeOperatorCarrierCodeListProvider,string,,Identifies the code list provider used for the barge operator carriercodes. Possible values are: - SMDG (Ship Message Design Group) - NMFTA (National Motor Freight Traffic Association),NMFTA,SMDG|NMFTA,,,,,,False,present,bargeOperatorCarrierCodeListProvider,datatype_property,BargeTransportCall,string
bookingChannelReference,string,,"Identification number provided by the platform/channel used for booking request/confirmation, ex: Inttra booking reference, or GTNexus, other. Conditional on booking channel being used",Inttra reference,,,20,,,^\S+(\s+\S+)*$,False,missing,,,,
bookingRequestDateTime,string,date-time,The date and time when the booking was created,2021-11-03T09:41:00-08:30,,,,,,,False,present,bookingRequestDateTime,datatype_property,Booking,dateTime
bookingUpdatedDateTime,string,date-time,Last date and time when the booking was updated,2021-11-03T09:41:00-08:30,,,,,,,False,present,bookingUpdatedDateTime,datatype_property,Booking,dateTime
calculationBasis,string,,"The code specifying the measure unit used for the corresponding unit price for this cost, such as per day, per ton, per square metre.",Per day,,,50,,,^\S+(\s+\S+)*$,False,missing,,,,
cargoGrossVolume,number,float,The grand total volume of the commodity,120.0,,,,0,,,False,missing,,,,
cargoGrossWeight,number,float,"The grand total weight of the cargo and weight per container(s) including packaging items being carried, which can be expressed in imperial or metric terms, as provided by the shipper. Excludes the tare weight of the container(s).'",12000.0,,,,0,,,False,present,cargoGrossWeight,datatype_property,Shipment,decimal
cargoMovementTypeAtDestination,string,,Refers to the shipment term at the unloading of the cargo out of the container. Options are defined in the Cargo Movement Type entity. Possible values are: - `FCL` (Full Container Load) - `LCL` (Less than Container Load),FCL,,,3,,,,False,missing,,,,
cargoMovementTypeAtOrigin,string,,Refers to the shipment term at the loading of the cargo into the container. Options are defined in the Cargo Movement Type entity. Possible values are: - `FCL` (Full Container Load) - `LCL` (Less than Container Load),FCL,,,3,,,,False,missing,,,,
carrierBookingReference,string,,A set of unique characters provided by carrier to identify a booking.,ABC709951,,,35,,,^\S+(\s+\S+)*$,False,present,carrierBookingReference,datatype_property,Booking,string
carrierBookingRequestReference,string,,A reference to the booking during the booking request phase,24595eb0-5cfc-4381-9c3a-cedc1975e9aa,,,,,,^\S+(\s+\S+)*$,False,missing,,,,
carrierCode,string,,The code containing the SCAC and/or the SMDG code to specify the issuing carrier. Details about the issuer can be given in the Document Parties entity using the party function code MS.,MMCU,,,4,,,^\S+$,False,present,carrierCode,datatype_property,Booking,string
carrierCodeListProvider,string,,The provider used for identifying the issuer Code. Possible values are: - SMDG (Ship Message Design Group) - NMFTA (National Motor Freight Traffic Association) _includes SPLC (Standard Point Location Code)_,NMFTA,SMDG|NMFTA,,,,,,False,missing,,,,
carrierExportVoyageNumber,string,,The identifier of an export voyage. The carrier-specific identifier of the export Voyage.,2103S,,,50,,,^\S+(\s+\S+)*$,False,missing,,,,
carrierImportVoyageNumber,string,,The identifier of an import voyage. The carrier-specific identifier of the import Voyage.,2103N,,,50,,,^\S+(\s+\S+)*$,False,missing,,,,
carrierLocationReference,string,,A carrier specific reference to location.,123e4567-e89b-12d3-a456-426614174000,,,100,,,^\S+(\s+\S+)*$,False,missing,,,,
carrierServiceCode,string,,The carrier-specific code of the service for which the schedule details are published.,FE1,,,11,,,^\S+(\s+\S+)*$,False,missing,,,,
carrierServiceName,string,,The name of a service as specified by the carrier,Great Lion Service,,,50,,,^\S+(\s+\S+)*$,False,missing,,,,
carrierVoyageNumber,string,,The carrier-specific identifier of the Voyage.,2103S,,,50,,,^\S+(\s+\S+)*$,False,missing,,,,
chargeName,string,,Free text field describing the charge to apply,Documentation fee - Destination,,,50,,,^\S+(\s+\S+)*$,False,missing,,,,
chargeTypeCode,string,,Description of the charge type applied.,DDF,OCFR|OTHC|DTHC|ODF|DDF,,4,,,,False,missing,,,,
cityName,string,,The city name of the party’s address.,Amsterdam,,,65,,,^\S+(\s+\S+)*$,False,missing,,,,
clauseContent,string,,The content of the clause.,It is not allowed to...,,,20000,,,^\S+(\s+\S+)*$,False,missing,,,,
co2Setpoint,number,float,The percentage of the controlled atmosphere CO<sub>2</sub> target value,25,,,,0,100,,False,missing,,,,
